piece	type	name	cat	weight	img	x	y	z
08010ac01	B	Electric, Light Brick 12V 2 x 2 with 2 Plug Holes, Trans-Clear Smooth Lens	123	2.8	http://www.bricklink.com/PL/08010ac01	2	2	1
08010bc01	B	Electric, Light Brick 12V 2 x 2 with 3 Plug Holes, Trans-Clear Diffuser Lens	123	2.8	http://www.bricklink.com/PL/08010bc01	2	2	1
08010bc02	B	Electric, Light Brick 12V 2 x 2 with 3 Plug Holes, Trans-Red Diffuser Lens	123	2.8	http://www.bricklink.com/PL/08010bc02	2	2	1
08010dc01	B	Electric, Light Brick 4.5V 2 x 2 with 3 Plug Holes, Trans-Clear Diffuser Lens	123	2.8	http://www.bricklink.com/PL/08010dc01	2	2	1
1	B	Homemaker Bookcase 2 x 4 x 4	85	5.8	http://www.bricklink.com/PL/1	2	4	4
1014cat	B	Paper, Duplo Mosaic Picture Puzzle Key Card from Set 1014 - Cat	246	9.3	http://www.bricklink.com/PL/1014cat	\N	\N	\N
1014chicken	B	Paper, Duplo Mosaic Picture Puzzle Key Card from Set 1014 - Chicken	246	9.2	http://www.bricklink.com/PL/1014chicken	\N	\N	\N
1014dog	B	Paper, Duplo Mosaic Picture Puzzle Key Card from Set 1014 - Dog	246	9.2	http://www.bricklink.com/PL/1014dog	\N	\N	\N
1014rabbit	B	Paper, Duplo Mosaic Picture Puzzle Key Card from Set 1014 - Rabbit	246	9.1	http://www.bricklink.com/PL/1014rabbit	\N	\N	\N
101583	B	Paper, Information Note, Battery Waggon Leaflet - 101583	246	\N	http://www.bricklink.com/PL/101583	\N	\N	\N
1019lion	B	Paper, Duplo Mosaic Picture Puzzle Key Card from Set 1019 - Lion	246	8.85	http://www.bricklink.com/PL/1019lion	10.2	21.1	0.1
1078cow	B	Paper, Duplo Mosaic Picture Puzzle Key Card from Set 1078 - Cow	246	8	http://www.bricklink.com/PL/1078cow	\N	\N	\N
1078duck	B	Paper, Duplo Mosaic Picture Puzzle Key Card from Set 1078 - Duck	246	8	http://www.bricklink.com/PL/1078duck	\N	\N	\N
1078goat	B	Paper, Duplo Mosaic Picture Puzzle Key Card from Set 1078 - Goat	246	8	http://www.bricklink.com/PL/1078goat	\N	\N	\N
1078horse	B	Paper, Duplo Mosaic Picture Puzzle Key Card from Set 1078 - Horse	246	8	http://www.bricklink.com/PL/1078horse	\N	\N	\N
1079brownbear	B	Paper, Duplo Mosaic Picture Puzzle Key Card from Set 1079 - Brown Bear	246	8	http://www.bricklink.com/PL/1079brownbear	\N	\N	\N
1079elephant	B	Paper, Duplo Mosaic Picture Puzzle Key Card from Set 1079 - Elephant	246	8	http://www.bricklink.com/PL/1079elephant	\N	\N	\N
1079polarbear	B	Paper, Duplo Mosaic Picture Puzzle Key Card from Set 1079 - Polar Bear (197821)	246	8	http://www.bricklink.com/PL/1079polarbear	\N	\N	\N
1079tiger	B	Paper, Duplo Mosaic Picture Puzzle Key Card from Set 1079 - Tiger	246	8	http://www.bricklink.com/PL/1079tiger	\N	\N	\N
108681	B	Paper, Information Note for Parents, 12V Transformer - 108681	246	2	http://www.bricklink.com/PL/108681	27.5	19	\N
10a	B	Baseplate 24 x 32 with Squared Corners	2	74	http://www.bricklink.com/PL/10a	24	32	\N
113578	B	Paper, Information Note, Use of Battery Box - 113578-UK/F/NL	246	7	http://www.bricklink.com/PL/113578	26	19	\N
122c01	B	Plate, Modified 2 x 2 with Wheels Red	43	2	http://www.bricklink.com/PL/122c01	\N	\N	\N
122c01assy2	B	Plate, Modified 2 x 2 with Wheels Red, with Black Tires Offset Tread Small (122c01 / 3641)	532	3.8	http://www.bricklink.com/PL/122c01assy2	2	2	\N
122c01assy3	B	Plate, Modified 2 x 2 with Wheels Red, with Black Tires Offset Tread Medium (122c01/ 4084)	532	6.6	http://www.bricklink.com/PL/122c01assy3	\N	\N	\N
122c02	B	Plate, Modified 2 x 2 with Wheels White	43	1.82	http://www.bricklink.com/PL/122c02	\N	\N	\N
122c02assy2	B	Plate, Modified 2 x 2 with Wheels White, with Black Tires Offset Tread Small (122c02 / 3641)	532	2.5	http://www.bricklink.com/PL/122c02assy2	2	2	\N
