set	piece	color	extra	quantity
1023-1	353	5	f	1
1028-1	4196	5	f	6
107-2	but028	0	f	1
107-2	3034	11	f	4
107-2	3020	11	f	3
107-2	3021	11	f	1
107-2	4600	9	f	5
107-2	3680c01	9	f	1
107-2	3062b	11	f	8
107-2	3032	5	f	1
107-2	3788	5	f	1
107-2	3069b	5	f	2
107-2	3010	5	f	2
107-2	3002	5	f	1
107-2	4073	19	f	2
107-2	3829c01	5	f	1
107-2	3822	5	f	1
107-2	3821	5	f	1
107-2	4081a	5	f	2
107-2	3023	7	f	3
107-2	3021	7	f	1
107-2	4175	9	f	1
107-2	3069b	1	f	1
107-2	4070	11	f	2
107-2	3710	11	f	2
107-2	3068b	1	f	1
107-2	3823	12	f	1
107-2	4214	1	f	1
107-2	4213	1	f	1
107-2	3031	1	f	1
107-2	3029	1	f	2
107-2	3009	1	f	6
107-2	3622	1	f	6
107-2	3010	1	f	2
107-2	3008	1	f	8
107-2	3001pb23	1	f	1
107-2	3024	1	f	2
107-2	3023	1	f	1
107-2	3856	1	f	2
107-2	3853	1	f	1
107-2	3032	1	f	1
107-2	3009pb027	1	f	2
1041-1	4555pb158	0	f	1
1041-1	4555pb094	0	f	1
1041-1	4555pb161	0	f	1
1041-1	4555pb115	0	f	1
1041-1	4555pb159	0	f	1
1041-1	4655	3	f	2
1041-1	4658	3	f	2
1041-1	4657	5	f	2
1041-1	dupboat01pb01	5	f	1
1041-1	dupship	1	f	1
1041-1	4671	1	f	1
1041-1	dpumpc01	1	f	1
1041-1	4668	5	f	4
1041-1	4376	3	f	1
1041-1	4537	7	f	2
1041-1	4654c04	3	f	2
1041-1	4567c01	7	f	1
1041-1	4066pb054	3	f	4
1041-1	4066pb042	3	f	4
1041-1	3664pb10	3	f	1
1041-1	4197	7	f	2
1041-1	3437	7	f	12
1041-1	3437	5	f	1
1041-1	3437	11	f	3
1041-1	3011	7	f	2
1041-1	3011	11	f	2
1041-1	4199	7	f	2
1041-1	4672	5	f	6
1041-1	4672	1	f	2
1041-1	4575	3	f	1
1041-1	dupraft	3	f	1
1041-1	4853c02	3	f	2
1041-1	4576	5	f	1
1041-1	4577	5	f	1
1041-1	4555pb221	0	f	1
1041-1	dupshipc01	1	f	1
1041-1	4658c01	3	f	1
1041-1	4376c01	3	f	1
1041-1	4375	3	f	1
1042-1	4555pb086a	0	f	1
1042-1	4555pb162a	0	f	2
1042-1	4555pb159	0	f	1
1042-1	4555pb158	0	f	1
1042-1	4555pb177	0	f	1
1042-1	4555pb221	0	f	1
1042-1	4555pb233	0	f	1
1042-1	4555pb234	0	f	1
1042-1	4555pb235	0	f	1
1042-1	4555pb130	0	f	1
1042-1	4555pb216	0	f	1
1043-1	4882	3	f	1
1043-1	3967	8	f	15
1043-1	4009pb01	9	f	1
1043-1	6312c01pb01	1	f	1
1043-1	duphen2	1	f	2
1043-1	dupsheeppb01	1	f	3
1043-1	4009pb01	106	f	1
1043-1	4010px1	68	f	4
1043-1	4011type1pb01	28	f	2
1044-1	4251c01	5	f	1
1044-1	tractor	7	f	1
1044-1	4820a	7	f	1
1044-1	4853c02	3	f	1
1044-1	4883c01	5	f	1
1044-1	4883c02	3	f	1
1044-1	4883c02	7	f	1
1044-1	4575	5	f	1
1044-1	4575	7	f	1
1044-1	4575	3	f	1
1044-1	4577	5	f	2
1044-1	x1118	3	f	1
1044-1	4662	7	f	1
1044-1	2222	3	f	1
1044-1	6413	3	f	1
1044-1	3982	3	f	1
1044-1	3437	5	f	2
1044-1	4198	3	f	5
1044-1	4555pb162a	0	f	1
1044-1	4555pb235	0	f	1
1044-1	4555pb234	0	f	1
1044-1	4555pb233	0	f	1
1044-1	4555pb177	0	f	1
1044-1	4821c01	5	f	1
1044-1	4555pb216	0	f	1
1044-1	4576	5	f	2
1045-1	3965	3	f	1
1045-1	4537	3	f	2
1045-1	4829c01	7	f	1
1045-1	dpumpc01	1	f	1
1045-1	x836cx1	3	f	1
1045-1	3437	7	f	2
1045-1	4066pb241	5	f	1
1045-1	4145c01pb01	3	f	1
1045-1	4066pb118	6	f	1
1045-1	4066pb235	5	f	1
1045-1	4066pb042	3	f	1
1045-1	4539	7	f	1
1045-1	4672	5	f	1
1045-1	4066pb034	3	f	1
1045-1	4066apx165	7	f	1
1045-1	3966	7	f	2
1045-1	4567c01	3	f	1
1046-1	4580c01	7	f	1
1046-1	4550	7	f	1
1046-1	4570c01	3	f	1
1046-1	3437	7	f	6
1046-1	3011	3	f	2
1046-1	4199	5	f	2
1046-1	4559c01	7	f	3
1046-1	4544	5	f	3
1046-1	4543	3	f	3
1046-1	4548	5	f	2
1046-1	4549	3	f	2
1046-1	4575	3	f	1
1046-1	4577	5	f	1
1046-1	4572	9	f	2
1046-1	4539	7	f	1
1046-1	4537	7	f	2
1046-1	4567c01	7	f	1
1046-1	4555pb164	0	f	2
1046-1	4555pb216	0	f	2
1046-1	4555pb177	0	f	2
1046-1	4562	11	f	12
1046-1	4563	11	f	8
1046-1	4576	5	f	1
1047-1	4563	11	f	4
1047-1	4562	11	f	8
1048-1	4648	11	f	2
1048-1	4647	11	f	1
1048-1	4649	9	f	2
1048-1	4664	11	f	2
1048-1	4665	11	f	5
105-1	but028	0	f	1
105-1	3832	5	f	1
105-1	3024	5	f	4
105-1	3023	5	f	5
105-1	3666	5	f	4
105-1	3788	5	f	1
105-1	4211	5	f	1
105-1	3795	5	f	2
105-1	3829c01	1	f	1
105-1	3023	11	f	2
105-1	4070	5	f	2
105-1	3024	19	f	2
105-1	3822	5	f	1
105-1	3821	5	f	1
105-1	3037	5	f	1
105-1	3623	1	f	4
105-1	3853	1	f	1
105-1	3856	5	f	2
105-1	3710	1	f	4
105-1	4214	1	f	1
105-1	4213	1	f	1
105-1	3823	12	f	1
105-1	3623	7	f	2
105-1	3710	7	f	2
105-1	3005	1	f	2
105-1	3009pb027	1	f	2
105-1	3034	1	f	2
105-1	122c01	11	f	2
105-1	3641	11	f	4
105-1	3008	5	f	2
105-1	3020	5	f	1
105-1	122c01assy2	11	f	2
106-1	but022	0	f	1
106-1	3004	11	f	1
106-1	3004	7	f	2
106-1	3002	11	f	1
106-1	4211	11	f	1
106-1	3788	11	f	1
106-1	3829c01	7	f	1
106-1	3821	7	f	1
106-1	3822	7	f	1
106-1	4213	7	f	1
106-1	4214	7	f	1
106-1	3962a	11	f	1
106-1	3837	10	f	1
106-1	4215apb07	7	f	2
106-1	3024	11	f	2
106-1	3024	17	f	2
106-1	3024	19	f	2
106-1	4085a	7	f	2
106-1	3023	11	f	1
106-1	3023	7	f	1
106-1	4175	11	f	1
106-1	3710	11	f	5
106-1	3710	7	f	2
106-1	3022	11	f	3
106-1	4488	11	f	1
106-1	4600	9	f	2
106-1	3020	11	f	1
106-1	3832	11	f	1
106-1	3031	7	f	1
106-1	4084	11	f	5
106-1	4624	9	f	5
106-1	3823	12	f	1
106-1	4070	7	f	2
106-1	4624c03	9	f	5
1060-1	609p01	9	f	4
1060-1	608p01	9	f	1
1060-1	607p01	9	f	1
1060-1	3470	6	f	6
1060-1	3471	6	f	6
1060-1	739p01	1	f	2
1060-1	14pb02	1	f	1
1060-1	14pb01	1	f	1
1060-1	80039	1	f	1
1060-1	14pb04	1	f	1
1060-1	14pb05	1	f	1
1060-1	80045	1	f	1
1060-1	7284	1	f	1
1060-1	675p01	1	f	1
1060-1	649p02	1	f	2
1063-1	x81c01	3	f	1
1063-1	x81c01	9	f	1
1063-1	x81c01	7	f	1
1063-1	bb57	12	f	3
1063-1	3024	17	f	3
1063-1	3024	19	f	3
1063-1	4719c01	5	f	9
1063-1	3069bp01	1	f	1
1063-1	3899	5	f	3
1063-1	4528	11	f	2
1063-1	4349	9	f	1
1063-1	4449	8	f	2
1063-1	3962a	11	f	2
1063-1	4522	11	f	2
1063-1	3837	10	f	3
1063-1	3836	8	f	2
1063-1	3835	9	f	1
1063-1	4006	11	f	2
1063-1	3841	10	f	1
1063-1	post005	0	f	1
1063-1	hor029	0	f	1
1063-1	chef004	0	f	1
1063-1	doc005	0	f	1
1063-1	cop013	0	f	1
1063-1	cop003	0	f	1
1063-1	trn133	0	f	1
1063-1	zip042	0	f	1
1063-1	zip043	0	f	1
1063-1	doc006	0	f	1
1063-1	firec001	0	f	1
1063-1	but035	0	f	1
1063-1	ver016	0	f	1
1063-1	ovr029	0	f	1
1063-1	trn026	0	f	1
1063-1	hor027	0	f	1
1063-1	hgh009	0	f	1
1063-1	hgh010	0	f	1
1063-1	ver017	0	f	1
1063-1	trn134	0	f	1
1063-1	but038	0	f	1
1063-1	jred021	0	f	1
1063-1	jred022	0	f	1
1063-1	trn135	0	f	1
1067-1	3030	7	f	1
1067-1	3710	7	f	1
1067-1	3030	5	f	1
1067-1	3020	5	f	1
1067-1	3029	11	f	1
1067-1	3035	11	f	1
1067-1	3029	1	f	1
1067-1	3710	1	f	2
1067-1	3035	3	f	1
1067-1	3832	3	f	2
1067-1	3710	3	f	1
1067-1	3001	7	f	2
1067-1	3010	7	f	3
1067-1	3001	5	f	3
1067-1	3010	5	f	1
1067-1	3001	11	f	2
1067-1	3001	1	f	2
1067-1	3009	1	f	2
1067-1	3001	3	f	3
1067-1	3010	3	f	5
1067-1	3297	3	f	1
1067-1	3037	3	f	2
1067-1	3297	11	f	1
1067-1	3037	1	f	2
1067-1	3040	1	f	2
1067-1	3004	1	f	4
1067-1	3046a	7	f	2
1067-1	3037	5	f	1
1067-1	3665	3	f	2
1067-1	4346px1	3	f	2
1067-1	3149c01	7	f	1
1067-1	3149c01	5	f	1
1067-1	3829c01	7	f	1
1067-1	3829c01	5	f	1
1067-1	3829c01	11	f	1
1067-1	3829c01	1	f	1
1067-1	3829c01	3	f	2
1067-1	4207	3	f	2
1067-1	3822	3	f	3
1067-1	3821	3	f	3
1067-1	3822	7	f	1
1067-1	3821	7	f	1
1067-1	3822pb02	5	f	1
1067-1	3821pb02	5	f	1
1067-1	3822p24	1	f	1
1067-1	3821p24	1	f	1
1067-1	3822pb01	1	f	1
1067-1	3821pb01	1	f	1
1067-1	3135	7	f	1
1067-1	3136	9	f	1
1067-1	3403c01	5	f	1
1067-1	4209c02	5	f	1
1067-1	4215ap66	1	f	2
1067-1	3853	1	f	1
1067-1	3856	1	f	2
1067-1	3069bp01	1	f	12
1067-1	3010p08	5	f	1
1067-1	3010p08	7	f	1
1067-1	3010p08	11	f	1
1067-1	3010p08	1	f	1
1067-1	3010p08	3	f	2
1067-1	3010p09	7	f	1
1067-1	3010p09	5	f	1
1067-1	3010p09	11	f	1
1067-1	3010p09	1	f	1
1067-1	3010p09	3	f	2
1067-1	3633	1	f	1
1067-1	3137c01	11	f	12
1067-1	3641	11	f	24
1067-1	3823	12	f	4
1067-1	4594	12	f	3
1067-1	3062b	14	f	4
1067-1	3062b	19	f	1
1067-1	3024	17	f	2
1067-1	3024	19	f	2
1067-1	4719c01	5	f	4
1067-1	x81c01	3	f	1
1067-1	x81c01	7	f	1
1067-1	4485	5	f	1
1067-1	zip040	0	f	1
1067-1	trn025	0	f	1
1067-1	post005	0	f	1
1067-1	hor006	0	f	1
1067-1	pln090	0	f	1
1067-1	but036	0	f	1
1067-1	zip041	0	f	1
1067-1	cop001	0	f	1
1067-1	trn070	0	f	1
1067-1	doc031	0	f	1
1067-1	pln098	0	f	1
1067-1	jred020	0	f	1
1067-1	but037	0	f	1
1067-1	firec001	0	f	1
1067-1	4209	5	f	1
1067-1	4210	11	f	1
1067-1	194cx2	9	f	1
1067-1	4345apx1	3	f	2
1067-1	3137c01assy2	11	f	12
1067-1	4209c01	5	f	1
107-2	3937	11	f	1
107-2	3938	11	f	1
107-2	4624	9	f	10
107-2	3022	11	f	5
107-2	3004	1	f	2
107-2	3023	11	f	5
107-2	3024	17	f	4
107-2	3024	19	f	2
107-2	3957	11	f	2
107-2	4081a	11	f	4
107-2	4084	11	f	10
107-2	4085a	7	f	2
107-2	4624c03	9	f	10
1071-1	3011	3	f	10
1071-1	3011	5	f	10
1071-1	3011	6	f	10
1071-1	3011	7	f	10
1071-1	3437	5	f	4
1071-1	3437	3	f	4
1071-1	3437	6	f	4
1071-1	3437	7	f	4
1078-1	2756pb055	1	f	1
1078-1	2756pb056	1	f	1
1078-1	2756pb057	1	f	1
1078-1	2756pb058	1	f	1
1078-1	2756pb059	1	f	1
1078-1	2756pb060	1	f	1
1078-1	2756pb061	1	f	1
1078-1	2756pb062	1	f	1
1078-1	2756pb063	1	f	1
1078-1	2756pb064	1	f	1
1078-1	2756pb065	1	f	1
1078-1	2756pb066	1	f	1
1078-1	2756pb067	1	f	1
1078-1	2756pb068	1	f	1
1078-1	2756pb069	1	f	1
1078-1	2756pb070	1	f	1
1078-1	2756pb071	1	f	1
1078-1	2756pb072	1	f	1
1078-1	2756pb019	1	f	1
1078-1	2756pb020	1	f	1
1078-1	2756pb021	1	f	1
1078-1	2756pb022	1	f	1
1078-1	2756pb023	1	f	1
1078-1	2756pb024	1	f	1
1078-1	2756pb025	1	f	1
1078-1	2756pb026	1	f	1
1078-1	2756pb027	1	f	1
1078-1	2756pb028	1	f	1
1078-1	2756pb029	1	f	1
1078-1	2756pb030	1	f	1
1078-1	2756pb031	1	f	1
1078-1	2756pb032	1	f	1
1078-1	2756pb033	1	f	1
1078-1	2756pb034	1	f	1
1078-1	2756pb035	1	f	1
1078-1	2756pb036	1	f	1
1078-1	2756pb001	1	f	1
1078-1	2756pb002	1	f	1
1078-1	2756pb003	1	f	1
1078-1	2756pb004	1	f	1
1078-1	2756pb005	1	f	1
1078-1	2756pb006	1	f	1
1078-1	2756pb007	1	f	1
1078-1	2756pb008	1	f	1
1078-1	2756pb009	1	f	1
1078-1	2756pb010	1	f	1
1078-1	2756pb011	1	f	1
1078-1	2756pb012	1	f	1
1078-1	2756pb013	1	f	1
1078-1	2756pb014	1	f	1
1078-1	2756pb015	1	f	1
1078-1	2756pb016	1	f	1
1078-1	2756pb017	1	f	1
1078-1	2756pb018	1	f	1
1078-1	2756pb037	1	f	1
1078-1	2756pb038	1	f	1
1078-1	2756pb039	1	f	1
1078-1	2756pb040	1	f	1
1078-1	2756pb041	1	f	1
1078-1	2756pb042	1	f	1
1078-1	2756pb043	1	f	1
1078-1	2756pb044	1	f	1
1078-1	2756pb045	1	f	1
1078-1	2756pb046	1	f	1
1078-1	2756pb047	1	f	1
1078-1	2756pb048	1	f	1
1078-1	2756pb049	1	f	1
1078-1	2756pb050	1	f	1
1078-1	2756pb051	1	f	1
1078-1	2756pb052	1	f	1
1078-1	2756pb053	1	f	1
1078-1	2756pb054	1	f	1
1078-1	1078cow	0	f	1
1078-1	1078duck	0	f	1
1078-1	1078goat	0	f	1
1078-1	1078horse	0	f	1
1078-1	4196	5	f	4
1082-1	3297	7	f	30
1082-1	3297	5	f	30
1082-1	3037	7	f	30
1082-1	3037	5	f	30
1082-1	3038	7	f	12
1082-1	3038	5	f	12
1082-1	3298	7	f	15
1082-1	3298	5	f	15
1082-1	3660	7	f	12
1082-1	3660	5	f	12
1082-1	3300	7	f	9
1082-1	3300	5	f	9
1082-1	3299	7	f	9
1082-1	3299	5	f	9
1082-1	3041	7	f	9
1082-1	3041	5	f	9
1082-1	3042	7	f	6
1082-1	3042	5	f	6
1082-1	3043	7	f	9
1082-1	3043	5	f	9
1082-1	3049	7	f	3
1082-1	3049	5	f	3
1082-1	3039	7	f	12
1082-1	3039	5	f	12
1082-1	3046a	7	f	12
1082-1	3046a	5	f	12
1134-1	x488c01	7	f	1
1134-1	bb54	9	f	1
1134-1	101583	0	f	1
1134-1	113578	0	f	1
1135-1	x466	9	f	1
1135-1	765c01	9	f	12
1136-1	73092	11	f	2
1136-1	4023	11	f	2
1136-1	4022	11	f	2
1137-1	4023	11	f	2
1137-1	73092	11	f	2
1138-1	trainrim	9	f	8
1139-1	4178	11	f	1
1139-1	4023	11	f	2
1139-1	73092	11	f	2
1140-1	08010ac01	1	f	2
1141-1	4180c04	11	f	2
1142-1	4180c01	11	f	2
1143-1	4180c05	11	f	2
1144-1	4093b	11	f	1
1145-1	4092	11	f	1
1146-1	x461	11	f	2
1146-1	x460	9	f	4
1147-1	4170	11	f	1
1147-1	4171	12	f	2
1147-1	4073	19	f	2
1147-1	4073	17	f	2
1170-1	bb54	9	f	1
1170-1	x488c01	5	f	1
1467-1	pln004	0	f	1
1467-1	4732	1	f	1
1467-1	3137c01	11	f	2
1467-1	3641	11	f	4
1467-1	3022	1	f	1
1467-1	3020	1	f	5
1467-1	3004	1	f	5
1467-1	3004p60	1	f	2
1467-1	3710	5	f	4
1467-1	3298	1	f	2
1467-1	3665	3	f	4
1467-1	3021	5	f	2
1467-1	3020	5	f	2
1467-1	3040	1	f	4
1467-1	3039	12	f	1
1467-1	3633	3	f	1
1467-1	3062b	3	f	2
1467-1	3137c01assy2	11	f	2
1469-1	3005	1	f	5
1469-1	3622	3	f	2
1469-1	3010	3	f	3
1469-1	3002	12	f	1
1469-1	3710	3	f	1
1469-1	3666	3	f	1
1469-1	3460	3	f	7
1469-1	4477	5	f	5
1469-1	3021	5	f	2
1469-1	3462	3	f	1
1469-1	3020	5	f	1
1469-1	3795	3	f	1
1469-1	3034	3	f	1
1469-1	3461	3	f	1
1469-1	3665	3	f	2
1469-1	3665	1	f	2
1469-1	3660	3	f	2
1469-1	3038	12	f	1
