set	name	cat	x	y	z	weight	year	img
544-1	Basic Set	422	\N	\N	\N	\N	1981	http://www.bricklink.com/SL/544-1
2401-1	Racer	167	\N	\N	\N	\N	1984	http://www.bricklink.com/SL/2401-1
9002-1	Rattles	166	\N	\N	\N	\N	1986	http://www.bricklink.com/SL/9002-1
7-1	Battery Box	63	\N	\N	\N	\N	1981	http://www.bricklink.com/SL/7-1
1046-1	Train Set	166	\N	\N	\N	\N	1986	http://www.bricklink.com/SL/1046-1
1047-1	Extra Track	166	\N	\N	\N	\N	1986	http://www.bricklink.com/SL/1047-1
1045-1	Industrial Elements	166	24.8	24.2	7.6	530	1986	http://www.bricklink.com/SL/1045-1
1023-1	Giant Red Baseplate	166	\N	\N	\N	\N	1986	http://www.bricklink.com/SL/1023-1
1028-1	6 x 12 Base Bricks	166	\N	\N	\N	\N	1986	http://www.bricklink.com/SL/1028-1
1030-1	TECHNIC I: Simple Machines Set	166	38.7	31.4	6.1	1189	1985	http://www.bricklink.com/SL/1030-1
1031-1	Building Cards - 1030	166	15	21.3	1.5	277	1983	http://www.bricklink.com/SL/1031-1
1032-1	TECHNIC II Set 4.5v	166	39	31.2	6	1487	1985	http://www.bricklink.com/SL/1032-1
1033-1	Building Cards - 1032	166	\N	\N	\N	\N	1985	http://www.bricklink.com/SL/1033-1
1041-1	Harbor - 70 elements	166	\N	\N	\N	\N	1986	http://www.bricklink.com/SL/1041-1
1042-1	Community People	166	\N	\N	\N	\N	1986	http://www.bricklink.com/SL/1042-1
1043-1	Farm Animals and Fences	166	\N	\N	\N	\N	1986	http://www.bricklink.com/SL/1043-1
1044-1	Community Vehicles	166	\N	\N	\N	\N	1986	http://www.bricklink.com/SL/1044-1
1048-1	Bridge and Crossing Tracks	166	\N	\N	\N	\N	1986	http://www.bricklink.com/SL/1048-1
105-1	Canada Post Truck	67	15.5	8.1	3.7	100	1984	http://www.bricklink.com/SL/105-1
106-1	UNICEF Van	67	\N	\N	\N	\N	1985	http://www.bricklink.com/SL/106-1
1060-1	Road Plates and Signs	166	\N	\N	\N	\N	1981	http://www.bricklink.com/SL/1060-1
1063-1	Community Workers	166	\N	\N	\N	\N	1985	http://www.bricklink.com/SL/1063-1
1067-1	Community Vehicles	166	\N	\N	\N	\N	1988	http://www.bricklink.com/SL/1067-1
107-2	Canada Post Mail Truck	67	\N	\N	\N	\N	1985	http://www.bricklink.com/SL/107-2
1071-1	Bricks 2 x 2 and 2 x 4 - 56 elements	166	\N	\N	\N	\N	1986	http://www.bricklink.com/SL/1071-1
1078-1	Animal Mosaic Puzzle - 72 elements, 4 Domestic Animals	166	48.3	25.5	5.5	1184	1987	http://www.bricklink.com/SL/1078-1
1082-1	Roof Bricks	166	\N	\N	\N	\N	1982	http://www.bricklink.com/SL/1082-1
1134-1	Battery Wagon	63	\N	\N	\N	\N	1981	http://www.bricklink.com/SL/1134-1
1135-1	Battery Cable Kit: 12 Connectors, 3m Cable	63	\N	\N	\N	\N	1981	http://www.bricklink.com/SL/1135-1
1136-1	Buffers, Magnetic Couplers	63	\N	\N	\N	13.5	1981	http://www.bricklink.com/SL/1136-1
1137-1	Train Couplings	63	15	9.8	1.4	9.3	1981	http://www.bricklink.com/SL/1137-1
1138-1	Replacement Rubber Wheel Treads for Trains	63	\N	\N	\N	\N	1981	http://www.bricklink.com/SL/1138-1
1139-1	Motor-Mount Plate with Magnetic Couplers	63	9.7	25.2	1.8	25	1981	http://www.bricklink.com/SL/1139-1
1140-1	12V Light Bricks	63	\N	\N	\N	7	1981	http://www.bricklink.com/SL/1140-1
1141-1	Wheel Bricks with Small Red Train Wheels	63	\N	\N	\N	20	1981	http://www.bricklink.com/SL/1141-1
1142-1	Wheel Bricks with Small Black Train-Wheels	63	9.7	15.3	2	14	1981	http://www.bricklink.com/SL/1142-1
1143-1	Wheel Bricks with Large Red Train Wheels	63	15	9.8	2.9	18	1981	http://www.bricklink.com/SL/1143-1
1144-1	Train Baseplate	63	9.7	25	0.8	28	1981	http://www.bricklink.com/SL/1144-1
1145-1	Bogie Plate	63	9.5	15	1.5	5	1981	http://www.bricklink.com/SL/1145-1
1146-1	Pushrods, Cylinder Housings	63	\N	\N	\N	7	1981	http://www.bricklink.com/SL/1146-1
1147-1	Light Prisms & Holder, Red/Yellow Light Covers	63	15	9.8	0.9	6.67	1981	http://www.bricklink.com/SL/1147-1
1170-1	Replacement Train Battery Tender	63	\N	\N	\N	\N	1986	http://www.bricklink.com/SL/1170-1
1467-1	Shell Race Car	67	\N	\N	\N	\N	1987	http://www.bricklink.com/SL/1467-1
1469-1	Helicopter	422	\N	\N	\N	55	1986	http://www.bricklink.com/SL/1469-1
1484-1	Weetabix Town House	67	28.7	19	4.5	470	1987	http://www.bricklink.com/SL/1484-1
1489-1	Mobile Car Crane	67	25	16	5	265	1989	http://www.bricklink.com/SL/1489-1
1490-1	Town Bank	67	\N	\N	\N	\N	1988	http://www.bricklink.com/SL/1490-1
1496-1	Rally Car	67	11.3	7.1	3.5	54	1987	http://www.bricklink.com/SL/1496-1
1497-1	Rally and Pitcrew Team	67	19	11.5	3.5	\N	1987	http://www.bricklink.com/SL/1497-1
